# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.0,3.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.0899940857316009,1.0121484032,3.0,0.0,0.26998225719480273,3.0,0,0.0,0.0,0.0
 0.12804172653214743,1.0245920255999998,3.0,0.0,0.3841251795964423,3.0000000000000004,0,0.0,0.0,0.0
 0.15775188620108493,1.0373284864,3.0,0.0,0.47325565860325486,3.000000000000001,0,0.0,0.0,0.0
 0.18322191426427842,1.0503554048,3.0,0.0,0.5496657427928353,3.0,0,0.0,0.0,0.0
 0.20602653550776723,1.0636704,3.0,0.0,0.6180796065233017,3.0,0,0.0,0.0,0.0
 0.226967091887789,1.0772710912,3.0,0.0,0.680901275663367,2.9999999999999987,0,0.0,0.0,0.0
 0.24651585155252517,1.0911550976,3.0,0.0,0.7395475546575756,3.0000000000000027,0,0.0,0.0,0.0
 0.2649780348129509,1.1053200384000001,3.0,0.0,0.7949341044388528,3.0000000000000013,0,0.0,0.0,0.0
 0.28256389578288327,1.1197635328000002,3.0,0.0,0.8476916873486499,2.999999999999997,0,0.0,0.0,0.0
 0.29942522717143727,1.1344832000000002,3.0,0.0,0.8982756815143119,3.000000000000003,0,0.0,0.0,0.0
 0.31567563436751556,1.1494766592,3.0,0.0,0.9470269031025468,3.0,0,0.0,0.0,0.0
 0.3314026046970664,1.1647415296,3.0,0.0,0.9942078140911993,3.0,0,0.0,0.0,0.0
 0.34667509323091944,1.1802754304,3.0,0.0,1.0400252796927583,2.999999999999989,0,0.0,0.0,0.0
 0.3615485037077783,1.1960759808,3.0,0.0,1.0846455111233348,3.0,0,0.0,0.0,0.0
 0.37606807894316174,1.2121408000000002,3.0,0.0,1.1282042368294853,3.0000000000000115,0,0.0,0.0,0.0
 0.3902712793258899,1.2284675072000002,3.0,0.0,1.1708138379776698,3.0,0,0.0,0.0,0.0
 0.4041894948329724,1.2450537216000002,3.0,0.0,1.2125684844989173,3.0,0,0.0,0.0,0.0
 0.41784930489352284,1.2618970624000003,3.0,0.0,1.2535479146805686,2.999999999999996,0,0.0,0.0,0.0
 0.4312734235571058,1.2789951488000002,3.0,0.0,1.2938202706713176,3.0000000000000084,0,0.0,0.0,0.0
 0.44448142068407476,1.2963456000000002,3.0,0.0,1.3334442620522244,3.0,0,0.0,0.0,0.0
 0.4574902805524944,1.3139460352,3.0,0.0,1.3724708416574833,2.9999999999999956,0,0.0,0.0,0.0
 0.4703148403640553,1.3317940736000002,3.0,0.0,1.410944521092166,3.0000000000000044,0,0.0,0.0,0.0
 0.4829681386316632,1.3498873344000002,3.0,0.0,1.4489044158949898,2.9999999999999956,0,0.0,0.0,0.0
 0.49546169498761466,1.3682234368000001,3.0,0.0,1.4863850849628442,3.0000000000000044,0,0.0,0.0,0.0
 0.5078057371344546,1.3868000000000003,3.0,0.0,1.523417211403364,2.9999999999999867,0,0.0,0.0,0.0
 0.5200093865819477,1.4056146432000003,3.0,0.0,1.5600281597458432,3.0,0,0.0,0.0,0.0
 0.5320808119073644,1.4246649856000002,3.0,0.0,1.5962424357220935,3.0000000000000093,0,0.0,0.0,0.0
 0.544027356174914,1.4439486464000002,3.0,0.0,1.6320820685247424,3.0000000000000093,0,0.0,0.0,0.0
 0.5558556436102214,1.4634632448000002,3.0,0.0,1.6675669308306644,2.9999999999999907,0,0.0,0.0,0.0
 0.5675716694832471,1.4832064000000005,3.0,0.0,1.7027150084497416,3.0000000000000093,0,0.0,0.0,0.0
 0.5791808762957104,1.5031757312000005,3.0,0.0,1.7375426288871314,3.0000000000000098,0,0.0,0.0,0.0
 0.5906882187189224,1.5233688576000004,3.0,0.0,1.7720646561567677,3.0000000000000098,0,0.0,0.0,0.0
 0.6020982192300524,1.5437833984000005,3.0,0.0,1.8062946576901575,3.0,0,0.0,0.0,0.0
 0.6134150160100965,1.5644169728000006,3.0,0.0,1.8402450480302899,2.9999999999999902,0,0.0,0.0,0.0
 0.6246424043669575,1.5852672000000005,3.0,0.0,1.8739272131008728,3.0,0,0.0,0.0,0.0
 0.6357838727114744,1.6063316992000005,3.0,0.0,1.9073516181344237,3.0000000000000098,0,0.0,0.0,0.0
 0.64684263392781,1.6276080896000005,3.0,0.0,1.9405279017834307,3.00000000000001,0,0.0,0.0,0.0
 0.657821652831019,1.6490939904000006,3.0,0.0,1.9734649584930575,2.99999999999999,0,0.0,0.0,0.0
 0.6687236702854179,1.6707870208000006,3.0,0.0,2.0061710108562543,3.00000000000001,0,0.0,0.0,0.0
 0.6795512244611638,1.6926848000000008,3.0,0.0,2.038653673383492,3.0000000000000204,0,0.0,0.0,0.0
 0.6903066696283136,1.7147849472000007,3.0,0.0,2.0709200088849413,2.99999999999999,0,0.0,0.0,0.0
 0.7009921928238576,1.7370850816000007,3.0,0.0,2.1029765784715733,2.999999999999979,0,0.0,0.0,0.0
 0.7116098286748624,1.7595828224000007,3.0,0.0,2.1348294860245876,2.999999999999979,0,0.0,0.0,0.0
 0.7221614726176783,1.7822757888000007,3.0,0.0,2.166484417853035,2.9999999999999893,0,0.0,0.0,0.0
 0.7326488927173782,1.8051616000000008,3.0,0.0,2.197946678152135,3.0000000000000107,0,0.0,0.0,0.0
 0.743073740261804,1.8282378752000006,3.0,0.0,2.229221220785412,3.0,0,0.0,0.0,0.0
